fold,evaluation_year,dimension,regime,model,rows,positives,pr_auc,roc_auc,brier,log_loss,prevalence,ece_10,calibration_slope,calibration_intercept,top_decile_precision,top_decile_lift
eval_2024,2024,sector,Development Banks,temporal_tabular,3532,499,0.32402784849290706,0.7129689646355025,0.11078975634947462,0.371312447439316,0.1412797281993205,0.025439300082121908,0.9465078197600693,0.15308108546525184,0.4096045197740113,2.899244817318252
eval_2024,2024,sector,Development Banks,range_persistence,3532,499,0.22767894306899722,0.6348037320932667,0.11849808792706633,0.3951611246005661,0.1412797281993205,0.019490932705180767,0.7425567568093921,-0.43657227316193653,0.2966101694915254,2.099453143575286
eval_2024,2024,sector,Development Banks,logit_state,3532,499,0.2859990947022711,0.6757583746457637,0.1142354001971655,0.3822053500292675,0.1412797281993205,0.02105112470875497,0.8401016767816719,-0.2971591153402972,0.3531073446327684,2.4993489804467695
eval_2024,2024,sector,Development Banks,lgbm_price_liquidity,3532,499,0.23031536536272587,0.6383475820747992,0.11870614498565668,0.39906354193175075,0.1412797281993205,0.03648627192086489,0.6294919814104688,-0.5092797801733955,0.2853107344632768,2.0194739762009895
eval_2024,2024,sector,Development Banks,lgbm_state,3532,499,0.2767794778416284,0.6683482362020445,0.11498251628269265,0.3857651544476391,0.1412797281993205,0.023605992894100043,0.9186431644006682,0.06919228246088653,0.3474576271186441,2.4593593967596212
eval_2024,2024,sector,Finance,temporal_tabular,3315,472,0.4003925826633716,0.7494127711834598,0.10752016878354578,0.3601412375428455,0.14238310708898944,0.03705441751170391,1.1240619768439888,0.6231142351098089,0.4789156626506024,3.3635708086583627
eval_2024,2024,sector,Finance,range_persistence,3315,472,0.2534721746912935,0.6552750734781234,0.11909793752511265,0.3949833009170062,0.14238310708898944,0.028966836108944016,0.7335059783189356,-0.5849537733535561,0.286144578313253,2.0096806718399023
eval_2024,2024,sector,Finance,logit_state,3315,472,0.3372592346678189,0.7138720139265636,0.11092065783489108,0.3709274959812806,0.14238310708898944,0.025270165179829236,0.9591820992602732,-0.09263491728706084,0.35843373493975905,2.517389473146825
eval_2024,2024,sector,Finance,lgbm_price_liquidity,3315,472,0.29589129079376736,0.695093360439259,0.1136162345549581,0.3799388726840117,0.14238310708898944,0.020250312351911694,0.8042056781565845,-0.20917481881457572,0.4036144578313253,2.8347074739636513
eval_2024,2024,sector,Finance,lgbm_state,3315,472,0.3361042567874274,0.7029084221131892,0.11117221786166599,0.37289844358102325,0.14238310708898944,0.023901951394632075,1.0069829094646976,0.21591651462910555,0.40963855421686746,2.8770165407392283
eval_2024,2024,sector,Hotels And Tourism,temporal_tabular,1329,143,0.4894471297228374,0.8090543520560384,0.07469021169169689,0.2654252692536145,0.10759969902182091,0.02740150402595084,1.33513079916866,0.6861923056659162,0.48872180451127817,4.542036910457963
eval_2024,2024,sector,Hotels And Tourism,range_persistence,1329,143,0.3281784253697613,0.6997930400122644,0.08637003087015502,0.3086192533224054,0.10759969902182091,0.0292047805141201,1.3761258150385147,0.4425758823527706,0.3383458646616541,3.144487091855513
eval_2024,2024,sector,Hotels And Tourism,logit_state,1329,143,0.34834612665924786,0.7328388306465878,0.08451099764858479,0.3020888774399737,0.10759969902182091,0.041212932795265445,1.1258524389924813,-0.09199017265828517,0.42105263157894735,3.9131394920868603
eval_2024,2024,sector,Hotels And Tourism,lgbm_price_liquidity,1329,143,0.325856774891899,0.7206865647000554,0.08514502288118699,0.30222397853280447,0.10759969902182091,0.017460246652822014,1.06323502888334,0.0346275958809512,0.3609022556390977,3.3541195646458806
eval_2024,2024,sector,Hotels And Tourism,lgbm_state,1329,143,0.33219064032294876,0.7481043408530761,0.084671314889354,0.2977368984891848,0.10759969902182091,0.02806169729244538,1.383614091100387,0.6760989540410713,0.42857142857142855,3.983016983016983
eval_2024,2024,sector,Hydro Power,temporal_tabular,19945,2261,0.3347228693410897,0.749596958987407,0.08914327549574934,0.3090564305326222,0.11336174479819504,0.017767921916040357,1.06363571989828,0.3301614684798749,0.3829573934837093,3.3781889487096777
eval_2024,2024,sector,Hydro Power,range_persistence,19945,2261,0.21047340861195651,0.6518834858078042,0.09983946991798869,0.34697276650736647,0.11336174479819504,0.04400966481160296,0.8053169358378636,-0.7059529763646115,0.26516290726817043,2.3390863270515965
eval_2024,2024,sector,Hydro Power,logit_state,19945,2261,0.25336231563429484,0.6761173427334719,0.09635604110031268,0.3357119344428196,0.11336174479819504,0.03268173752397105,0.7896672443386155,-0.6224740003951185,0.30025062656641605,2.648606256907195
eval_2024,2024,sector,Hydro Power,lgbm_price_liquidity,19945,2261,0.21242480960417912,0.649487223787478,0.0976754859979508,0.34123662121044385,0.11336174479819504,0.02345500366299491,0.6705381915208296,-0.6387187219553498,0.2681704260651629,2.3656166067535045
eval_2024,2024,sector,Hydro Power,lgbm_state,19945,2261,0.2448185627832706,0.6912965700572065,0.0946171391736286,0.32849270211165554,0.11336174479819504,0.005011149637988484,0.9570390510197653,-0.07940879566315617,0.3087719298245614,2.723775382729269
eval_2024,2024,sector,Investment,temporal_tabular,1596,178,0.368567502922841,0.7847141883646852,0.08611938018783265,0.29601542289908733,0.11152882205513784,0.02691715872720501,1.1641373838369067,0.5331916810748035,0.4,3.5865168539325847
eval_2024,2024,sector,Investment,range_persistence,1596,178,0.23640501701482458,0.6506097367712081,0.09501637003488617,0.3345620494760061,0.11152882205513784,0.03207917052678849,0.9793619580203871,-0.30876332846934085,0.3,2.689887640449438
eval_2024,2024,sector,Investment,logit_state,1596,178,0.28677737979240053,0.7006109253419122,0.09261624859314656,0.32480443120669533,0.11152882205513784,0.03602950501316555,0.9356326931786642,-0.3916268275101312,0.31875,2.858005617977528
eval_2024,2024,sector,Investment,lgbm_price_liquidity,1596,178,0.2603888171352591,0.6844463637660259,0.09302776859584522,0.32564428532274003,0.11152882205513784,0.022409754800730267,0.8496412095306708,-0.2647953183591151,0.2875,2.577808988764045
eval_2024,2024,sector,Investment,lgbm_state,1596,178,0.23829661267508861,0.7005356491973186,0.09395231302254438,0.32538791607499784,0.11152882205513784,0.021394960707778826,0.9378489394740835,-0.13175045339535507,0.275,2.465730337078652
eval_2024,2024,sector,Life Insurance,temporal_tabular,2627,293,0.34897019345071106,0.7641512468889924,0.08602191027124541,0.2989035996930788,0.11153406928054815,0.010609605657819526,1.107372318886006,0.21439499707653814,0.41064638783269963,3.6818022554146825
eval_2024,2024,sector,Life Insurance,range_persistence,2627,293,0.2021630857874333,0.5927913818869889,0.09629126252958238,0.3400449580855012,0.11153406928054815,0.022663043069048577,0.9120639862961326,-0.1844592674491217,0.2585551330798479,2.3181717904462813
eval_2024,2024,sector,Life Insurance,logit_state,2627,293,0.24839694753304148,0.6839654784152358,0.09479062074443087,0.3308287426475952,0.11153406928054815,0.03554262305111157,0.922663070385379,-0.44511347382626293,0.3041825095057034,2.7272609299368016
eval_2024,2024,sector,Life Insurance,lgbm_price_liquidity,2627,293,0.19618395585687284,0.636979390578801,0.09670524159341508,0.33923426764987274,0.11153406928054815,0.022641469163103688,0.6973027190344097,-0.5276688634391505,0.23574144486692014,2.113627220701021
eval_2024,2024,sector,Life Insurance,lgbm_state,2627,293,0.2594921829803689,0.709369726640755,0.09279372297778624,0.32264144062630973,0.11153406928054815,0.017462233548437355,1.104205598311942,0.22033681693725282,0.2813688212927757,2.522716360191542
eval_2024,2024,sector,Manufacturing And Processing,temporal_tabular,1603,143,0.3632480825045509,0.7935290736660598,0.068680694405851,0.2463155817227279,0.0892077354959451,0.02656174731601775,1.309415765740346,0.6026338267121358,0.391304347826087,4.386439647309213
eval_2024,2024,sector,Manufacturing And Processing,range_persistence,1603,143,0.2494664283533059,0.7145559919532523,0.07605682244041373,0.2787233211179819,0.0892077354959451,0.02914747682992713,1.3573925680687755,0.4144565131390436,0.2795031055900621,3.1331711766494372
eval_2024,2024,sector,Manufacturing And Processing,logit_state,1603,143,0.33179828303784087,0.7564421879490373,0.0727922017481314,0.2681037228265699,0.0892077354959451,0.04531446080163746,1.216980009152805,-0.1782656873247627,0.35403726708074534,3.968683490422621
eval_2024,2024,sector,Manufacturing And Processing,lgbm_price_liquidity,1603,143,0.28542907363935494,0.7380448318804483,0.07377023961036056,0.2679364460240899,0.0892077354959451,0.025335681627007448,1.0666251231278046,-0.12092884797426812,0.33540372670807456,3.7598054119793254
eval_2024,2024,sector,Manufacturing And Processing,lgbm_state,1603,143,0.28528508603103214,0.7582383370054604,0.07345335269709634,0.26736037893498393,0.0892077354959451,0.026711252500538133,1.2650729239509655,0.17074846857914222,0.32919254658385094,3.69017938583156
eval_2024,2024,sector,Microfinance,temporal_tabular,10945,1296,0.2565957068001034,0.7050358797495807,0.09802982781509575,0.33745659127565214,0.1184102329830973,0.0230367784570033,0.9527272224497279,0.16303062866976706,0.3150684931506849,2.6608214950109925
eval_2024,2024,sector,Microfinance,range_persistence,10945,1296,0.20915312930910931,0.6293963248926199,0.10356106750453681,0.36119101562563904,0.1184102329830973,0.03461631812894629,0.6244297787256142,-0.9007971430351899,0.2602739726027397,2.198069930661255
eval_2024,2024,sector,Microfinance,logit_state,10945,1296,0.21940522569702325,0.6526683824460797,0.1017898509121691,0.3540433723853845,0.1184102329830973,0.02396211473633858,0.6374524095044193,-0.7587062655499354,0.2785388127853881,2.3523204521111674
eval_2024,2024,sector,Microfinance,lgbm_price_liquidity,10945,1296,0.2239419803507927,0.6532482256844885,0.10075928079047453,0.3494792402385513,0.1184102329830973,0.020563177305239554,0.6945628538668837,-0.569674103549969,0.2867579908675799,2.4217331867636283
eval_2024,2024,sector,Microfinance,lgbm_state,10945,1296,0.22278913610863382,0.6730831666813806,0.0999205145427911,0.34418679334898666,0.1184102329830973,0.009400933323256531,0.9386939068993717,-0.06290449865463564,0.28127853881278536,2.3754580303286543
eval_2024,2024,sector,Non Life Insurance,temporal_tabular,2699,299,0.3095879407458082,0.7293952062430322,0.08806699618883986,0.30803660026783825,0.11078177102630604,0.013886551052420263,0.9935193267843614,-0.02254558562687739,0.3888888888888889,3.5104050538833147
eval_2024,2024,sector,Non Life Insurance,range_persistence,2699,299,0.200207363207081,0.6197366220735786,0.09548541183747715,0.3362465710190468,0.11078177102630604,0.01281047055176916,1.06266409347704,0.18836363548449853,0.23333333333333334,2.106243032329989
